        N   size[kB]     t[s]  op_per_sec[10^9]
     9161       35.8  0.37518  0.266536
    10125       39.6  0.42292  0.236451
    11190       43.7  0.42811  0.233587
    12367       48.3  0.42857  0.233336
    13668       53.4  0.42813  0.233574
    15106       59.0  0.42810  0.233589
    16696       65.2  0.42750  0.233917
    18452       72.1  0.42746  0.233941
    20394       79.7  0.42842  0.233415
    22539       88.0  0.42868  0.233275
    24911       97.3  0.42795  0.233672
    27532      107.5  0.43362  0.230616
    30429      118.9  0.43204  0.231461
    33630      131.4  0.43370  0.230576
    37168      145.2  0.43104  0.231996
    41079      160.5  0.43329  0.230794
    45401      177.3  0.43337  0.230752
    50177      196.0  0.43906  0.227758
    55456      216.6  0.43693  0.228868
    61291      239.4  0.44371  0.225374
    67740      264.6  0.44942  0.222509
    74867      292.4  0.45718  0.218730
    82743      323.2  0.46102  0.216911
    91449      357.2  0.46798  0.213685
   101070      394.8  0.46973  0.212887
   111704      436.3  0.46992  0.212801
   123456      482.2  0.47152  0.212081
   136445      533.0  0.47147  0.212103
   150800      589.1  0.47293  0.211449
   166666      651.0  0.47248  0.211647
   184201      719.5  0.47305  0.211395
   203581      795.2  0.47332  0.211274
   225000      878.9  0.47371  0.211098
   248672      971.4  0.47277  0.211521
   274835     1073.6  0.47330  0.211280
   303750     1186.5  0.47218  0.211783
   335708     1311.4  0.47330  0.211284
   371027     1449.3  0.47332  0.211273
   410063     1601.8  0.47591  0.210122
   453206     1770.3  0.47418  0.210889
   500888     1956.6  0.47517  0.210451
   553586     2162.4  0.47504  0.210509
   611829     2390.0  0.47505  0.210504
   676199     2641.4  0.47870  0.208899
   747342     2919.3  0.48303  0.207025
   825970     3226.4  0.48388  0.206664
   912870     3565.9  0.50562  0.197779
  1008913     3941.1  0.51619  0.193728
  1115061     4355.7  0.53774  0.185965
  1232376     4814.0  0.53695  0.186239
  1362035     5320.4  0.54559  0.183289
  1505334     5880.2  0.55408  0.180480
  1663710     6498.9  0.55287  0.180875
  1838749     7182.6  0.56666  0.176474
  2032203     7938.3  0.56619  0.176621
  2246011     8773.5  0.56439  0.177181
  2482314     9696.5  0.56712  0.176329
  2743478    10716.7  0.56908  0.175722
  3032119    11844.2  0.56841  0.175929
  3351127    13090.3  0.58777  0.170135
  3703699    14467.6  0.58670  0.170445
  4093365    15989.7  0.59115  0.169161
  4524027    17672.0  0.57778  0.173077
  5000000    19531.2  0.59372  0.168430


